"year","density","characteristic"
1985,0.433417065837139,58.8333333333333
1985,0.441634325135224,58.8333333333333
1985,0.453880093563585,58.8333333333333
1985,0.461610690228673,58.8333333333333
1985,0.466378880472489,58.8333333333333
1985,0.474448060240149,58.8333333333333
1985,0.479393968269556,58.8333333333333
1985,0.490701946232725,58.8333333333333
1985,0.502289532841394,58.8333333333333
1985,0.513599114390813,58.8333333333333
1985,0.523629502174191,58.8333333333333
1985,0.532414767446611,58.8333333333333
1985,0.542854077632219,58.8333333333333
1985,0.556018815514248,58.8333333333333
1985,0.573214630363594,58.8333333333333
1985,0.59492361842472,58.8333333333333
1985,0.619935731969224,58.8333333333333
1985,0.639201012185635,58.8333333333333
1985,0.655227099509579,58.8333333333333
1985,0.673744865909084,58.8333333333333
1985,0.699565713163831,58.8333333333333
1985,0.723191224427285,58.8333333333333
1985,0.747810036188714,58.8333333333333
1985,0.767325535269175,58.8333333333333
1985,0.785706244668123,58.8333333333333
1985,0.798856104377429,58.8333333333333
1985,0.809216662420109,58.8333333333333
1985,0.819391083482838,58.8333333333333
1985,0.830149340350454,58.8333333333333
1985,0.841390222286543,58.8333333333333
1985,0.853562601406253,58.8333333333333
1985,0.863585126141742,58.8333333333333
1985,0.870281751894673,58.8333333333333
1985,0.878450648734948,58.8333333333333
1985,0.884842629326959,58.8333333333333
1985,0.890059848290283,58.8333333333333
1985,0.89481192895866,58.8333333333333
1985,0.906772200321988,58.8333333333333
1985,0.917803530921093,58.8333333333333
1985,0.926492145018215,58.8333333333333
1985,0.934434780958124,58.8333333333333
1985,0.944018128107892,58.8333333333333
1985,0.955490704706239,58.8333333333333
1985,0.969372813240582,58.8333333333333
1985,0.98644960807831,58.8333333333333
1985,1.00518586085804,58.8333333333333
1985,1.01961646551452,58.8333333333333
1985,1.03388448393844,58.8333333333333
1985,1.05264176473454,58.8333333333333
1985,1.07686112078761,58.8333333333333
1985,1.09011270108264,58.8333333333333
1986,0.184059806280945,65.6666666666667
1986,0.183627875857008,65.6666666666667
1986,0.183944657176543,65.6666666666667
1986,0.186036059262446,65.6666666666667
1986,0.188954887039816,65.6666666666667
1986,0.188196027134231,65.6666666666667
1986,0.189014895595796,65.6666666666667
1986,0.190492912460796,65.6666666666667
1986,0.192569084637935,65.6666666666667
1986,0.194373322756569,65.6666666666667
1986,0.195672694810137,65.6666666666667
1986,0.196265445959221,65.6666666666667
1986,0.195877612377829,65.6666666666667
1986,0.196850005488965,65.6666666666667
1986,0.201808354318634,65.6666666666667
1986,0.208872631285816,65.6666666666667
1986,0.211588387010002,65.6666666666667
1986,0.212781041827695,65.6666666666667
1986,0.217462046184704,65.6666666666667
1986,0.225148945542953,65.6666666666667
1986,0.23238726902683,65.6666666666667
1986,0.238283739166137,65.6666666666667
1986,0.246190249846086,65.6666666666667
1986,0.254076433118143,65.6666666666667
1986,0.257920860498416,65.6666666666667
1986,0.260470893974467,65.6666666666667
1986,0.266229520242076,65.6666666666667
1986,0.2741474395979,65.6666666666667
1986,0.282670365655446,65.6666666666667
1986,0.291011203386137,65.6666666666667
1986,0.296147598793709,65.6666666666667
1986,0.299588927102385,65.6666666666667
1986,0.302760862758337,65.6666666666667
1986,0.305418560481808,65.6666666666667
1986,0.30753774262104,65.6666666666667
1986,0.31032650689947,65.6666666666667
1986,0.316114921585702,65.6666666666667
1986,0.324267020966539,65.6666666666667
1986,0.33487498716741,65.6666666666667
1986,0.343597357492811,65.6666666666667
1986,0.351008076362822,65.6666666666667
1986,0.358366878549737,65.6666666666667
1986,0.36477431506034,65.6666666666667
1986,0.370522233525322,65.6666666666667
1986,0.376513657188969,65.6666666666667
1986,0.385138131849339,65.6666666666667
1986,0.396233001702768,65.6666666666667
1986,0.405793100013571,65.6666666666667
1986,0.417748440807473,65.6666666666667
1986,0.429668219225004,65.6666666666667
1986,0.439519566643382,65.6666666666667
1986,0.447481086530743,65.6666666666667
1986,0.455003692000193,65.6666666666667
1986,0.457884127936537,65.6666666666667
1986,0.460465216765859,65.6666666666667
1986,0.468337927719213,65.6666666666667
1986,0.470800646709471,65.6666666666667
1986,0.472342578286246,65.6666666666667
1986,0.478119934048122,65.6666666666667
1986,0.484714749960196,65.6666666666667
1986,0.488343603649126,65.6666666666667
1986,0.494415312638429,65.6666666666667
1986,0.501760390478233,65.6666666666667
1986,0.510797780613665,65.6666666666667
1986,0.522954912984853,65.6666666666667
1986,0.536418240495392,65.6666666666667
1986,0.552777048847261,65.6666666666667
1986,0.571203416456212,65.6666666666667
1986,0.593375746234579,65.6666666666667
1986,0.618422690092364,65.6666666666667
1986,0.639239653201427,65.6666666666667
1986,0.658231717255398,65.6666666666667
1986,0.67714535828231,65.6666666666667
1986,0.69842348649648,65.6666666666667
1986,0.725743147586214,65.6666666666667
1986,0.755227808594393,65.6666666666667
1986,0.778182683849221,65.6666666666667
1986,0.801130185604755,65.6666666666667
1986,0.827292597936456,65.6666666666667
1986,0.850259116358506,65.6666666666667
1986,0.870460344541432,65.6666666666667
1986,0.888979976656921,65.6666666666667
1986,0.901481547020974,65.6666666666667
1986,0.91158621918642,65.6666666666667
1986,0.920149569893123,65.6666666666667
1986,0.925827494870892,65.6666666666667
1986,0.928469447858791,65.6666666666667
1986,0.930036525065052,65.6666666666667
1986,0.931679008683255,65.6666666666667
1986,0.935634576462815,65.6666666666667
1986,0.942614938159146,65.6666666666667
1986,0.9491150822313,65.6666666666667
1986,0.951706117124425,65.6666666666667
1986,0.95349189967884,65.6666666666667
1986,0.958163906766297,65.6666666666667
1986,0.965335045808613,65.6666666666667
1986,0.975676392575441,65.6666666666667
1986,0.987208777094165,65.6666666666667
1986,0.996134704747131,65.6666666666667
1986,1.00289897679034,65.6666666666667
1987,0.206292774061689,44.8333333333333
1987,0.206469260672277,44.8333333333333
1987,0.204812684403622,44.8333333333333
1987,0.202830578270088,44.8333333333333
1987,0.197857416325907,44.8333333333333
1987,0.195395485703422,44.8333333333333
1987,0.196037406083363,44.8333333333333
1987,0.199963562716993,44.8333333333333
1987,0.201279364358462,44.8333333333333
1987,0.20145585096905,44.8333333333333
1987,0.205229404343498,44.8333333333333
1987,0.208886825086899,44.8333333333333
1987,0.210477243466327,44.8333333333333
1987,0.212040870766919,44.8333333333333
1987,0.213879632394316,44.8333333333333
1987,0.213739738070142,44.8333333333333
1987,0.213147241576994,44.8333333333333
1987,0.214908295266873,44.8333333333333
1987,0.218176938965516,44.8333333333333
1987,0.223153761922182,44.8333333333333
1987,0.225282020232055,44.8333333333333
1987,0.225436350749427,44.8333333333333
1987,0.226280607011187,44.8333333333333
1987,0.231657633896103,44.8333333333333
1987,0.237953305405854,44.8333333333333
1987,0.245099553315651,44.8333333333333
1987,0.25228877825704,44.8333333333333
1987,0.258368617525115,44.8333333333333
1987,0.260137558845962,44.8333333333333
1987,0.261663161314703,44.8333333333333
1987,0.266065809107357,44.8333333333333
1987,0.272139625540177,44.8333333333333
1987,0.278202069893778,44.8333333333333
1987,0.2810713387926,44.8333333333333
1987,0.280306838872627,44.8333333333333
1987,0.282293855801919,44.8333333333333
1987,0.286669733588273,44.8333333333333
1987,0.290620117595443,44.8333333333333
1987,0.294911228843036,44.8333333333333
1987,0.303383014527154,44.8333333333333
1987,0.307900517274916,44.8333333333333
1987,0.314689971533947,44.8333333333333
1987,0.318153112944752,44.8333333333333
1987,0.318533804825828,44.8333333333333
1987,0.32255129062063,44.8333333333333
1987,0.328579149928415,44.8333333333333
1987,0.335440559927415,44.8333333333333
1987,0.341508615054446,44.8333333333333
1987,0.343610483325013,44.8333333333333
1987,0.346048623146804,44.8333333333333
1987,0.347618523261592,44.8333333333333
1987,0.350402528933295,44.8333333333333
1987,0.355473102712569,44.8333333333333
1987,0.361594255003182,44.8333333333333
1987,0.367653323723029,44.8333333333333
1987,0.372991212452305,44.8333333333333
1987,0.378457512141517,44.8333333333333
1987,0.388973544411269,44.8333333333333
1987,0.400482953317648,44.8333333333333
1987,0.40817020215895,44.8333333333333
1987,0.413617196412316,44.8333333333333
1987,0.417966956406774,44.8333333333333
1987,0.422561040835811,44.8333333333333
1987,0.43053594117714,44.8333333333333
1987,0.438367059289196,44.8333333333333
1987,0.444996736251862,44.8333333333333
1987,0.450876782942109,44.8333333333333
1987,0.453512137631154,44.8333333333333
1987,0.455760945483871,44.8333333333333
1987,0.461729378344117,44.8333333333333
1987,0.470239108464726,44.8333333333333
1987,0.482201926140558,44.8333333333333
1987,0.488704040453329,44.8333333333333
1987,0.49879485325691,44.8333333333333
1987,0.50520560335193,44.8333333333333
1987,0.510430420033223,44.8333333333333
1987,0.514654783091087,44.8333333333333
1987,0.517121985655787,44.8333333333333
1987,0.521587347555281,44.8333333333333
1987,0.521158524084411,44.8333333333333
1987,0.525892890951237,44.8333333333333
1987,0.53704121603672,44.8333333333333
1987,0.551369793844771,44.8333333333333
1987,0.565289202712369,44.8333333333333
1987,0.581151982117644,44.8333333333333
1987,0.597624782668448,44.8333333333333
1987,0.611852560292749,44.8333333333333
1987,0.623961800648995,44.8333333333333
1987,0.631971890287636,44.8333333333333
1987,0.645675717880124,44.8333333333333
1987,0.66688767862475,44.8333333333333
1987,0.690053624129722,44.8333333333333
1987,0.71615474703846,44.8333333333333
1987,0.742116041909139,44.8333333333333
1987,0.765432884846841,44.8333333333333
1987,0.78341509163871,44.8333333333333
1987,0.797172920360701,44.8333333333333
1987,0.805752316841238,44.8333333333333
1987,0.812197491932465,44.8333333333333
1987,0.818098154110286,44.8333333333333
1988,0.239517084300643,64.25
1988,0.241908532683017,64.25
1988,0.244828693501384,64.25
1988,0.244722356710146,64.25
1988,0.244232176717721,64.25
1988,0.244852749573397,64.25
1988,0.245896807790905,64.25
1988,0.250190417534251,64.25
1988,0.254003747193872,64.25
1988,0.255916226113849,64.25
1988,0.2574450577268,64.25
1988,0.259914026923612,64.25
1988,0.266572191450949,64.25
1988,0.275448575145412,64.25
1988,0.273610643928065,64.25
1988,0.277618064252334,64.25
1988,0.289669468872338,64.25
1988,0.299481559965596,64.25
1988,0.299407667755651,64.25
1988,0.302377271064005,64.25
1988,0.305850010339423,64.25
1988,0.309037188244176,64.25
1988,0.314159172936906,64.25
1988,0.324160784344972,64.25
1988,0.330981764560455,64.25
1988,0.335766525345646,64.25
1988,0.345877390410677,64.25
1988,0.356561674686416,64.25
1988,0.362667922835552,64.25
1988,0.365052443181407,64.25
1988,0.365900914819985,64.25
1988,0.365017465501993,64.25
1988,0.3663224269974,64.25
1988,0.372139591123464,64.25
1988,0.380028138262608,64.25
